pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
1	1946-01-02	1	No				
2	1946-01-03	2	No	"Bibliografia: Piero Bianconi (p.2), ne ""La Pagina della scuola"""	ripresa processo Norimberga		
3	1946-01-04	3	Sì	"Nei cinema: ""Il grande dittatore"" al Kursaal"			
4	1946-01-05	4	No	Vita e cultura italiane (!!p.2); programmi della RSI (relazioni artistiche con IT	 p. 3)	primo rapporto del CF sulle mene nazi-fasciste in CH	
5	1946-01-07	5	No				
6	1946-01-08	6	no	Asterischi italiani (stampa IT	 giornalismo	 satira..)	
7	1946-01-09	7	no	Attività culturale del PS italiano: l'istituto di studi	L'URSS possiede una superbomba atomica		
8	1946-01-10	8	no	"Premio letterario ""Ghilda del Libro"" (p.2). Bibliografia: ""Storia contemporanea"" di Emilio Bontà, ne ""La Pagina della scuola"" (p.2)"			
9	1946-01-11	9	sì	"L'Italia rinascente: ""Il Ponte"" (rivista) (p.2). Pubblicazioni illustrazione ticinese (p.3)"	iniziata conferenza dell'UNO		
10	1946-01-12	10	no	"La censura, ne ""La pagina dell'emigrazione italiana"" (p. 2)"			
11	1946-01-14	11	no	"Nenni e Silone a Londra, in ""Notizie dall'Italia"" (p.2)"			
12	1946-01-15	12	no	"La recita della compagnia Elisa Merlini. Ai confini de ""La piccola città"" (p. 3)"			
13	1946-01-16	13	no	"Largo Sfondao, libro di Arnoldo Lorini (p. 2); poeta Diego Valeri in Ticino e in Svizzera (p. 3). Le recite di Elisa Merlini (""Vestire ignudi"" di Pirandello + ""Orchidea"" di Sem Benelli, p. 3)"			
14	1946-01-17	14	no	Le ultime recite della compagnia Elsa Merlini (p.3)			
15	1946-01-18	15	Sì	"La stampa riprende a Berlino (p. 1). La Dante Alighieri in ""Notizie dall'Italia"" (p.2). Una lettera del compagno Tonello (Angelo) (p. 2). Nenni e Silone a Londra significano una svolta nel PSI (p. 4)"			
16	1946-01-19	16	no	Grande serata musico-letteraria in margine al congresso giovanile socialista (p. 2)	 con ospiti Eros Bellinelli	 Tino Erler	 Sergio Maspoli;  Pietro e Vinicio Salati
17	1946-01-21	17	no	Opere entrate recentemente nella Biblioteca cantonale di Lugano (p.2); Conferenza Diego Valeri a Chiasso (p.3)			
18	1946-01-22	18	no	Conferenza Valeri a Mendrisio (p.3)	 Al circolo di cultura di Locarno (programma	 p. 3)	 Donazioni alla biblioteca cantonale nel 1945 (p.3) 
19	1946-01-23	19	no	Conferenza Valeri a Chiasso e Biasca (p.3). Lugano e dintorni: una serata popolare di musica e letteratura (p.3). La morte di un celebre linguista	 Matteo Bartoli (p.4)		
20	1946-01-24	20	no	"riporta articolo ""Himmler e Satana"", dialogo immaginato e pubblicato sul Forward, settimanale socialista inglese con toni sarcastici e satirici (p.2); Lugano e dintorni: il programma della serata musico-letteraria (p3)"			
21	1946-01-25	21	si	"""Il prezzo dei giornali"" (p.1); Lugano e dintorni: la serata musico-letteraria alla Casa d'Italia (p.3) ; Teatro veneziano (p.3)"			
22	1946-01-26	22	no	"Perché una serata musico-letteraria? in ""Gioventù Socialista. All'avanguardia del proletariato"" (p.3)"			
23	1946-01-28	23	no	"La censura, ne ""La pagina dell'emigrazione italiana"" (p. 2), Chiasso: Il circolo di cultura (p.2). Lugano e dintorni: La serata artistica in margine al Congresso giovanile socialista (p.3); pubblicità ""Il Piccolo. Settimanale d'informazioni e di letteratura varia"" (p3)"			
24	1945-01-29	24	no	Onoranze a Benedetto Croce (p.3). Nella nostra libreria (pubblicazioni in vendita	 p4)		
25	1946-01-30	25	no	"Victor Hugo e la navigazione aerea (p1); in ""Asteristichi italiani"" (p1)  su parole proibite durante il regime che stanno ora ritornando sui giornali IT. Nella nostra libreria (pubb in vendita, p4)"			
26	1946-01-31	26	no				
27	1946-02-01	27	no	Parisiana. La grande stampa quotidiana della Ville-Lumière (p1)			
28	1946-01-02	28	no	Conferenza Valeri a Ginevra (p2)			
29	1946-02-04	29	no	La serata musico-letteraria (p3); Conferenza Valeri sulla letteratura veneziana al Circolo ticinese di coltura (p3); morte di Philips Oppenhein (p4)			
30	1946-02-05	30	no	"Riempitivo su Renato Fucini (p2) ; pubblicità ""Nella nostra libreria"" (p4)"			
31	1946-02-06	31	no	"Riempitivo su Voltaire; riempitivo ""ONU O UNO?"" (p2); Lo scrittore Elio Vittorini alla Ghilda del Libro (p3)"			
32	1946-02-07	32	no	"Il brutale assassinio di Koj Munk, poeta danese (p1); Lectura Dantis Francesco Chiesa a Mendrisio (p2); Dante Bertolini, Il bel sentiero, in ""Bibliografia"" (P2); Il romanziere Vittorini alla Ghilda del Libro (p3)"			
33	1946-02-08	33	si				
34	1946-02-09	34	no	i programmi della RSI (p2); conferenza di Giuseppe De logu a Sciaffusa (p4)	"Inglesi vogliono facilitare entrata paesi neutri (anche CH) nell'ONU (""blocco antisovietico che si inizia a costituire apertamente"") (p1)"		
35	1946-02-11	35	no	Cronache di cultura italiana	 visita di Elio Vittorini (p2); Elogio del lavoro italiano (3 colonna su artisti	 p2); Conferenza di Elio Vittorini alla Ghilda del Libro (p3)	 Le recite della compagnia Tabody al Kursaal (p3)
36	1946-02-12	36	no				
37	1946-02-13	37	no	Conferenza Pierre Briquet a Chiasso	 sullo scrittore Pierre Loti (p3); Recite Maieroni a Mendrisio (p3)		
38	1946-02-14	38	no	"Conferenza De Logu a Biasca sul tema ""Il comune repubblicano di Firenze"" (p3)"			
39	1946-02-15	39	si	Conferenza De Logu a Lugano sulle arti figurative a Venezia (p4)	Pubblicazione numeri ebrei sterminati dai nazi (processo di Norimberga	 p1)	
40	1946-02-16	40	no	"Una serie di nomine all'Accademia francese (p1); Retroscena del grande giornalismo. Vita e miracoli del vetusto 'Figaro' (""Parisiana"") (p1-2); Conferenza De Logu a Biasca ""Il comune rep di Firenze"" (2); I programmi della RSI (p3)"			
41	1946-02-18	41	no	Conferenza Valeri a San Gallo (p2); Conferenza DeLogu a Sciaffusa (p2); Concorso romanzi d'appendice (p3)	 seconda conferenza De Logu a Lugano (p3); Commemorazione di Paul Verlaine (p4)		
42	1946-02-19	42	no	"Ottant'anni di  Benedetto Croce, in ""Quel che scrivono gli altri"" (p2); Conferenza Delogu a Locarno (p3)"			
43	1946-02-20	43	no	Morte di Jvan Moskowin (attore russo	 p1); Le recite della compagnia Tabody (p3)	 Pubbliaczioni in vendita (p3); La morte di Carlo Falbo (p4)	
44	1946-02-21	44	no	"L'Istituto di Cultura di Losanna (p2), Flussi e riflussi ne ""La pagina della scuola"" (p2)"			
45	1946-02-22	45	sì	Manifestazioni cinematografiche culturali di propaganda operaia (p3); Domani supplemento letterario dedicato ai Giovani Poeti Ticinesi (p2)			
46	1946-02-23	46	no MA GPT	Nella biblioteca nazionale (dimissioni direttore	 p2); PAGINA 4 GIOVANI POETI TICINESI		
47	1946-02-25	47	no	"Il dir. del ""Forward"" eletto trionfalmente nonostante i malefizi (di Bernard Shaw, corrispondenza speciale; p2). Teatro prima rappresentazione ""la luce splende nelle tenebre"" di Leone Tolstoi (p3)"			
48	1946-02-26	48	no	lista Opere entrate recentemente nella Biblioteca Cantonale di Lugano (4)	L'USS aderisce alla Federazione sindacale mondiale (2)		
49	1946-02-27	49	no	onoranze a Benedetto Croce (p2)			
50	1946-02-28	50	no				
51	1946-03-01	51	si	"""Nella nostra libreria"" lista pubblicazioni (p4)"			
52	1946-03-02	52	no				
53	1946-03-04	53	no	"Biblio cantonale riprende orario normale (p3); recita""La prigioniera"" di Bourdet al Kursaal"			
54	1946-03-05	54	no	"Pareri italiani su film svizzero ""Ultima speranza"" (p2); allocuzione ""Cavalieri dell'ideale socialista"" di Attilio Petralli (p2); Pubblicazioni in vendita (p4)"			
55	1946-03-06	55	no	"Conferenz Job alla Dante di ZH (3), mostra Gonzato a Friborgo (3), concerto alla ""Letteraria"" (3), Elenco vincitori premio letterario del ""Corriere Lombardo"" (3)"			
56	1946-03-07	56	no	Ugo Enrico Paoli nel canton Ticino (p3)			
57	1946-03-08	57	si	"giornali in IT, clima stampa più libero (quotidiani antifascisti, dalla Francia…) in ""Asterischi italiani"" (p2); Conferenza a Chiasso ""Poeti senza lauro all'ombra della dittatura"" (3); Conferenza Nocher a Lugano ""Grandezza e schiavitù della stampa della liberazione"" (3)"			
58	1946-03-09	58	no	"""All'osteria di Trilussa"" (sulle sue poesie) di Guglielmo Usellini (p1); conferenze Ugo Enrrico Paoli (p2), Alberto Moravia vince il premio 'corriere lombardo' (p3), ""Nella nostra Libreria"" (p4)"			
59	1946-03-11	59	no	La conferenza Jean Nocher a Lugano (p3); poeta Sergio Maspoli all'ECCO  (p3)			
60	1946-03-12	60	no	"Fata primavera, Eva proletaria 1946 (in ""Parisiana"", p1); articolo sul Risorgimento che menziona Leopardi, Foscolo (p2); il novantesimo compleanno di B Shaw (p2); Sergio Maspoli all'ECCO (3)"			
61	1946-03-13	61	no	Letture di Sergio Maspoli a Lugano (3)			
62	1946-03-14	62	no				
63	1946-03-15	63	si	"Premio letterario ""Libera Stampa"" (p1), Pubblicazioni in vendita (p4)"	discorso di Stalin in risposta a Churchill	 crisi/tensione URSS-GB	
64	1946-03-16	64	no				
65	1946-03-18	65	no	compagnia italiana di prosa Laura Carli e Giulio Stival al Kursaal (3); conferenza Paoli a Lugano (3)	75esimo anniversario Commune parigina		
66	1946-03-19			SAN GIUSEPPE	 NO GIORNALE		
67	1946-03-20	66	no	serata ricreativa con Sergio Maspoli a Chiasso (3)	 conferenza Paoli al circolo di cultura Biasca (3)		
68	1946-03-21	67	no	"""Profumo d'orti"" in Flussi e Riflussi (2); Pierre Goemaere conferenza a Lugano (3)"	Ripresa relazioni diplomatiche CH-Russia (1)		
69	1946-03-22	68	si				
70	1946-03-23	69	no	"AVVISO sulla ""Pagina dell'emigrazione IT"" (sollecita a inviare contributi, p2)"			
71	1946-03-25	70	no	compagnia Carli-Stivali al Kursaal (3)			
72	1946-03-26	71	no	"parole ""sciuscià"" e ""segnorine"" in Asterischi italiani (2); caricaturisti inglesi come prova della libertà di stampa (2), Libri per i paesi devastati (2)"	sollievo per decisione russa di sgomberare l'Iran (4)		
73	1946-03-27	72	no	Istituti italiani di cultura	 legazione italiana a Berna e relativi consolati (2); serie di reciti Carli-Stivali prolungata (3); conferenza Setti su liriche 1200-300 al circolo di cultura di Lugano (3) 		
74	1946-03-28	73	no	recite della compagnia Bonecchi a Mendrisio (2)	 prima mostra di artisti (scultori	 pittori) svizzero-italiani nei Grigioni (2)	
75	1946-03-29	74	no	"""La metropoli ferita"" in Flussi e Riflussi (2); un libro bianco svedese sulla Norvegia (4)"			
76	1945-03-30	75	no	rappresentazione compagnia Bonecchi (2)	"""La pace che non viene"" (1)"		
77	1946-04-01	76	no	"Ricordo di Federico Garcia Lorca (poesia ""La limpida morte"", p2)"			
78	1946-04-02	77	no	Conferenza Piero Bianconi a Mendrisio (p3)			
79	1946-04-03	78	no				
80	1946-04-04	79	no	"Ne ""La pagina della scuola"" si spinge per una scuola superiore (univeristà troppo) nella CH italiana (p2)"			
81	1946-04-05	80	si	"Mostra d'arte alla Ghilda del Libro (3); Conferenza Nobile Ventura (""poeti senza lauro.."", p3)"			
82	1946-04-06	81	no	Conferenza Nino Salvaneschi a Bellinzona (2); circolo italiano a Locarno sull'apertura della biblio (2); Maurice Chevalier a Lugano (2)	 incisori romandi alla Ghilda del Libro (2)		
83	1946-04-08	82	no	Conferenza Nobile Ventura a Lugano (3)	 mostra d'incisioni alla Ghilda (3)		
84	1946-04-09	83	no	Compagnia Bonecchi a Chiasso (3)	 scrittore Henri de Ziegler in TI (3)	 Conferenza Nobile Ventura (3); arrestato l'assassino dello scrittore Kai Munk (4)	Milano è socialista (elezioni) (1)
85	1946-04-10	84	no				
86	1946-04-11	85	no	Conferenza Ventura alla Ghilda (recap 	 p4)		
87	1946-04-12	86	si	"Civitas nova (uni in CH ita, p1); ""In casa di Formenti"" (episodio di guerra dal giornale ""Socialismo"", p2,), conferenza Nobile Ventura a Mendrisio (3), conferenza de Ziegler a Locarno (3), mosta d'incisioni del gruppo romando ""tailles et morsures"" (3)"			
88	1946-04-13	87	no	compagnia Bonecchi a Chiasso e Mendrisio (2)	 Chevalier a Lugano (2)	 espo arte Zaccheo e Chepard a Locarno (2)	 mosta Lomazzi a Lugano (2);  corsi ITA alla Dante Alighieri di Basilea (2)
89	1946-04-15	88	no	Salvatore Quasimodo lascia il PC (2)			
90	1946-04-16	89	no	smentita dimissioni Quasimodo dal PC (2)	 rappresentazioni Bonecchi (3)	PAG 3 inferiore INCOMPLETA; ripresa attività Ku Klux Klan negli USA; ad Auschwitz massacrate 3 mio pp (processo Norimberga	 p4)
91	1946-04-17	90	no				
92	1946-04-18	91	no	chiusura Biblioteca cantonale di Lugano (p3)			
93	1946-04-19	92	no	Colloquio Lasky-Croce (p3)			
